alsa		alsa-lib
dvdread		libdvdread
egl		MesaLib
freetype2	freetype
gbm		MesaLib
geoip		GeoIP
gettext-bin	gettext
gl		MesaLib
gudev		systemd
gtk+-2		gtk2+
js185		mozjs
json		json-c
libacl		acl
libcanberra-gtk3	libcanberra
libdb		berkeley-db
libicu		icu
libjpeg		libjpeg-turbo
libnl-genl	libnl
libnl-route	libnl
librest		rest
libsigc++2	libsigc++
libsystemd-journal	systemd
libtool-ltdl	libtool
libudev		systemd
libusb1		libusb
libuuid		util-linux
libyaml		yaml
libxml2-python	libxml2
js24		mozjs24
js17		mozjs17
pam		linux-pam
polkit-agent	polkit
polkit-gobject	polkit
py3cairo	pycairo
pyatspi2	pyatspi
python-devel	Python
python2-devel	Python2
sm		libSM
smbclient	samba
speex		opus
sqlite3		sqlite
WebKit		WebKit2
wireless-tools	wireless_tools
xmllint		libxml2
xsltproc	libxslt
